movie_id,title,genre,director,actors,year,rating,description
1,肖申克的救赎,剧情/犯罪,弗兰克·德拉邦特,蒂姆·罗宾斯;摩根·弗里曼,1994,9.3,银行家安迪被冤枉杀害妻子及其情人，被判终身监禁。在肖申克监狱中，他结识了黑人囚犯瑞德，两人成为挚友。安迪凭借自己的才华帮助监狱长洗钱，同时用20年时间挖出一条通往自由的隧道。
2,霸王别姬,剧情/爱情,陈凯歌,张国荣;张丰毅;巩俐,1993,9.6,段小楼与程蝶衣从小在京剧班学艺，两人搭档演出《霸王别姬》名噪一时。抗战时期程蝶衣为日军演出被捕，后得救。解放后程蝶衣因吸食鸦片被批评，文革期间两人都遭受迫害。
3,阿甘正传,剧情/喜剧,罗伯特·泽米吉斯,汤姆·汉克斯;罗宾·怀特,1994,9.5,智商只有75的阿甘凭借单纯的心和不懈的努力，在越战中成为英雄，成为橄榄球明星、乒乓外交使者、捕虾船船长，最终成为百万富翁。
4,泰坦尼克号,剧情/爱情,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥;凯特·温斯莱特,1997,9.4,1912年泰坦尼克号首航，富家女露丝与穷画家杰克在船上相遇并相爱。船只撞击冰山后，杰克把生存的机会留给了露丝。
5,千与千寻,动画/奇幻,宫崎骏,柊瑠美;入野自由,2001,9.4,少女千寻随父母搬家途中误入神灵世界，父母因贪吃变成猪。千寻为救父母在汤婆婆的澡堂工作，逐渐找回勇气和自我。
6,辛德勒的名单,剧情/历史,史蒂文·斯皮尔伯格,连姆·尼森;本·金斯利,1993,9.5,二战期间德国商人辛德勒在克拉科夫开设搪瓷厂，利用雇佣犹太人获得廉价劳动力。目睹纳粹对犹太人的屠杀后，他倾家荡产保护了一千多名犹太人。
7,盗梦空间,科幻/动作,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥;约瑟夫·高登-莱维特,2010,9.3,道姆·柯布是一名经验丰富的盗梦者，专门在梦境中窃取商业机密。为了回家与孩子团聚，他接受了一项不可能完成的任务——在目标人物的潜意识中植入想法。
8,星际穿越,科幻/剧情,克里斯托弗·诺兰,马修·麦康纳;安妮·海瑟薇,2014,9.4,未来地球环境恶化，前NASA宇航员库珀接受一项穿越虫洞的任务，前往太空寻找人类新家园。为了拯救人类，他不得不离开深爱的女儿。
9,楚门的世界,喜剧/剧情,彼得·威尔,金·凯瑞;劳拉·琳妮,1998,9.4,楚门从出生起就生活在一个巨大的摄影棚里，他的一举一动都被直播给全世界观众。当他发现真相后，决定逃离这个虚假的世界。
10,忠犬八公的故事,剧情/家庭,拉斯·霍尔斯道姆,理查·基尔,2009,9.4,大学教授帕克在火车站捡到一只秋田犬，取名八公。每天八公都会到车站接送帕克上下班。帕克去世后，八公仍在车站等待了九年。
11,海上钢琴师,剧情/音乐,朱塞佩·托纳多雷,蒂姆·罗斯,1998,9.3,1900年在一艘邮轮上出生的弃婴被取名为1900，他无师自通成为钢琴天才，但一生从未下过船。
12,三傻大闹宝莱坞,喜剧/剧情,拉库马·希拉尼,阿米尔·汗;马德哈万;沙尔曼·乔什,2009,9.2,三个工程系学生在皇家工程学院相遇，他们挑战填鸭式教育体制，用智慧和勇气追求真正热爱的事业。
13,放牛班的春天,剧情/音乐,克里斯托夫·巴拉蒂,热拉尔·朱诺;让-巴蒂斯特·莫尼耶,2004,9.3,1949年音乐教师马修来到一所问题少年寄宿学校，用音乐感化了一群叛逆的孩子，组建了合唱团。
14,星际迷航,科幻/冒险,J·J·艾布拉姆斯,克里斯·派恩;扎克瑞·昆图,2009,8.1,詹姆斯·柯克在地球毁灭后来到星际联邦，与斯波克等人一起驾驶企业号飞船执行探索任务。
15,蜘蛛侠：英雄无归,动作/科幻,乔恩·沃茨,汤姆·赫兰德;赞达亚,2021,7.6,蜘蛛侠彼得·帕克身份暴露后生活被打乱，他请求奇异博士帮忙让所有人忘记他是蜘蛛侠，却意外打开多元宇宙。
16,复仇者联盟4：终局之战,动作/科幻,安东尼·罗素;乔·罗素,小罗伯特·唐尼;克里斯·埃文斯,2019,8.4,灭霸的响指消灭了宇宙一半生命，幸存的复仇者们穿越时空收集无限宝石，试图逆转这一结果。
17,阿凡达,科幻/冒险,詹姆斯·卡梅隆,萨姆·沃辛顿;佐伊·索尔达娜,2009,8.8,残疾海军陆战队员杰克·萨利通过阿凡达化身进入潘多拉星球，逐渐融入纳美族并爱上这里，最终带领纳美族反抗人类入侵。
18,泰囧,喜剧/冒险,徐峥,徐峥;王宝强;黄渤,2012,7.4,商业精英徐朗为夺回公司股份前往泰国，途中遇到卖葱油饼的王宝，两人在泰国经历了一系列啼笑皆非的冒险。
19,功夫,喜剧/动作,周星驰,周星驰;元华;元秋,2004,7.7,街头混混阿星冒充斧头帮成员勒索居民，却误入猪笼城寨与各路高手过招，最终领悟功夫真谛成为一代宗师。
20,大话西游之大圣娶亲,喜剧/奇幻,刘镇伟,周星驰;朱茵,1995,9.2,至尊宝为救白晶晶使用月光宝盒穿越时空，却发现穿越到了五百年前。在那里他遇到了紫霞仙子并拔出了她的紫青宝剑。
21,无间道,犯罪/剧情,刘伟强;麦兆辉,梁朝伟;刘德华,2002,9.3,警方卧底陈永仁和黑帮卧底刘建明在各自身份中挣扎。两人都想找回真正的自己，最终命运走向不同的终点。
22,让子弹飞,喜剧/剧情,姜文,姜文;葛优;周润发,2010,9.0,土匪张牧之冒充县长赴鹅城上任，与当地恶霸黄四郎展开一场斗智斗勇的较量。
23,摔跤吧！爸爸,剧情/运动,涅提·蒂瓦里,阿米尔·汗;法缇玛·萨那·纱卡,2016,9.0,前摔跤冠军马哈维亚不顾世俗偏见，将两个女儿培养成世界级摔跤运动员，最终帮助她们赢得金牌。
24,我不是药神,剧情/喜剧,文牧野,徐峥;周一围;王传君,2018,9.0,神油店老板程勇为白血病患者代购印度仿制药，从一个失败者逐渐成为病患心中的药神。
25,流浪地球,科幻/冒险,郭帆,吴京;屈楚萧;李光洁,2019,7.9,太阳即将毁灭，人类启动流浪地球计划，试图带着地球逃离太阳系。刘启和刘培强父子在危机中拯救地球。
26,哪吒之魔童降世,动画/奇幻,饺子,吕艳亭;杨卫,2019,8.4,哪吒本是灵珠转世却被申公豹调包成魔丸，生来就受世人偏见。他不甘命运摆布，喊出我命由我不由天。
27,少年的你,剧情/爱情,曾国祥,周冬雨;易烊千玺,2019,8.2,高考前夕一场校园意外改变了两个少年的命运。被校园霸凌的陈念与街头混混小北相遇，两人相互守护度过最黑暗的时光。
28,中国机长,剧情/灾难,刘伟强,张涵予;欧豪;杜江,2019,6.6,四川航空8633航班在万米高空遭遇风挡玻璃爆裂，机长刘传健凭借过硬技术安全迫降，挽救了全机人员的生命。
29,长津湖,剧情/战争,陈凯歌;徐克;林超贤,吴京;易烊千玺;朱亚文,2021,7.4,抗美援朝战争中第七穿插连在零下四十度的严寒中与美军精锐部队展开殊死搏斗。
30,八佰,剧情/战争,管虎,王千源;张译;姜武,2020,7.7,1937年淞沪会战末期，谢晋元率领四百多名将士坚守四行仓库，与日军激战四天四夜。
31,战狼2,动作/战争,吴京,吴京;余男;卢靖姗,2017,6.9,退役特种兵冷锋在非洲卷入叛乱，独自深入战区解救被困的中国同胞和当地难民。
32,红海行动,动作/战争,林超贤,张译;黄景瑜;海清,2018,8.3,中国海军蛟龙突击队奉命执行撤侨任务，与恐怖分子展开殊死搏斗，成功解救人质。
33,我和我的祖国,剧情/历史,陈凯歌;张一白;管虎;徐峥;宁浩;文牧野,黄渤;张译;吴京,2019,7.7,七个故事展现新中国成立70年来普通人与国家大事件相连的动人瞬间。
34,夺冠,剧情/运动,陈可辛,巩俐;黄渤;彭昱畅,2020,7.3,中国女排从1981年首夺世界冠军到2016年里约奥运会夺冠的三十余年拼搏历程。
35,你好，李焕英,喜剧/剧情,贾玲,贾玲;张小斐;沈腾,2021,7.7,贾晓玲在母亲遭遇车祸后意外穿越回1981年，试图改变母亲的命运让她过上更好的生活。
36,唐人街探案3,喜剧/悬疑,陈思诚,王宝强;刘昊然;妻夫木聪,2021,5.3,唐仁和秦风受野田昊之邀来到东京，卷入一宗密室谋杀案，与各国侦探展开推理较量。
37,西虹市首富,喜剧/奇幻,闫非;彭大魔,沈腾;宋芸桦;张一鸣,2018,6.6,落魄守门员王多鱼意外获得继承三百亿遗产的机会，但必须在一个月内花光十亿。
38,羞羞的铁拳,喜剧/奇幻,宋阳;张吃鱼,艾伦;马丽;沈腾,2017,6.8,女记者马小和拳手艾迪生因意外互换身体，艾迪生用马小的身体参加拳击比赛，马小则用艾迪生的身体体验生活。
39,夏洛特烦恼,喜剧/奇幻,闫非;彭大魔,沈腾;马丽;尹正,2015,7.8,中年失败者夏洛在参加初恋婚礼时意外穿越回高中时代，凭借未来的记忆成为乐坛巨星。
40,煎饼侠,喜剧/奇幻,大鹏,大鹏;袁姗姗;柳岩,2015,5.8,过气明星大鹏为了拍摄超级英雄电影《煎饼侠》四处拉赞助，经历了一系列啼笑皆非的故事。
41,港囧,喜剧/冒险,徐峥,徐峥;包贝尔;赵薇,2015,5.7,香港设计师徐来在同学聚会上与初恋重逢，引发了一场啼笑皆非的香港冒险之旅。
42,功夫瑜伽,喜剧/动作,唐季礼,成龙;李治廷;张艺兴,2017,5.0,考古学教授Jack带领学生前往印度寻找失落的摩揭陀国宝藏，与反派展开一场夺宝冒险。
43,捉妖记,喜剧/奇幻,许诚毅,白百何;井柏然;曾志伟,2015,6.8,天师霍小岚与宋天荫偶遇小妖王胡巴，两人在保护胡巴的过程中建立了深厚感情。
44,美人鱼,喜剧/奇幻,周星驰,邓超;林允;张雨绮,2016,6.8,地产商刘轩填海造地破坏人鱼族家园，人鱼族派美人鱼珊珊刺杀他，两人却相爱了。
45,西游记之大圣归来,动画/奇幻,田晓鹏,张磊;张欣,2015,8.2,被压五行山下五百年的孙悟空法力尽失，偶遇小和尚江流儿后逐渐找回自我，重获神力。
46,大鱼海棠,动画/奇幻,梁旋;张春,季冠霖;苏尚卿;许魏洲,2016,6.5,少女椿为报答救命之恩，用自己一半寿命换回人类少年的灵魂，引发了一场天灾。
47,白蛇：缘起,动画/奇幻,黄家康;赵霁,张喆;杨天翔;唐小喜,2019,7.9,小白为寻找失去的记忆来到人间，与捕蛇人许宣相遇相爱，却发现自己的真实身份。
48,姜子牙,动画/奇幻,程腾;李炜,郑希;杨凝;图特哈蒙,2020,6.6,封神大战后姜子牙因放走妖狐被贬下凡，在北海偶遇小九，两人踏上了一段寻找真相的旅程。
49,雄狮少年,动画/现实,孙海鹏,大昕;李盾;蔡欣然,2022,7.5,广东留守少年阿娟在偶然机会下接触舞狮，与好友组成雄狮队参加舞狮比赛，追逐梦想。
50,长安三万里,动画/历史,谢君伟;邹靖,杨天翔;凌振赫;吴俊全,2023,8.3,安史之乱爆发后高适回忆起与李白的过往，从开元盛世到战乱流离，讲述大唐诗人们的传奇人生。
